Code,Country_ECDC,Region,Income_group,ACAPS_suppression_number,ACAPS_reference,Description,source,Date_suppression,Date_lastACAPSifnosuppression,WPP_Population,cases_at_suppression,deaths_at_suppression,end_exp_growth,cases_at_end_exponential,deaths_at_end_exponential,cases_per_death
CYP,Cyprus,Europe & Central Asia,High income,1,2222,"partial curfew will be in place for 14 days.  Individuals may only leave their residences to seek goods and services from essential personnel and businesses.  All public sector employees except for the police force, fire department, health, civil aviation, finance and similar services will be under administrative leave until March 27, 2020.  Private sector businesses except those which provide basic needs such as groceries, bakeries, gas stations, pharmacies, etc., will also be closed until at least March 27.  All business hours are restricted from 07:00 to 18:00.",https://cy.usembassy.gov/covid-19-information/,23/03/2020,NA,1207.361,95,0,23/03/2020,95,0,NA
CZE,Czechia,Europe & Central Asia,High income,1,456,"Nationwide quarantine from 16 March until 24 March, except for essential needs, helping others and necessary trips to famillies; extended to last until 11th April",https://cz.usembassy.gov/covid-19-information/,16/03/2020,NA,10708.982,298,0,16/03/2020,298,0,NA
DEU,Germany,Europe & Central Asia,High income,1,5596,"Only essential trips, including for work are still allowed and with more stringent public movement rules",https://www.bundesregierung.de/breg-de/themen/coronavirus/besprechung-der-bundeskanzlerin-mit-den-regierungschefinnen-und-regierungschefs-der-laender-1733248,22/03/2020,NA,83783.945,21463,67,22/03/2020,21463,67,320.3432836
DJI,Djibouti,Middle East & North Africa,Lower middle income,3,NA,NA,NA,NA,18/03/2020,988.002,NA,NA,NA,NA,NA,NA
DMA,Dominica,Latin America & Caribbean,Upper middle income,3,NA,NA,NA,NA,26/03/2020,NA,NA,NA,26/03/2020,7,0,NA
DNK,Denmark,Europe & Central Asia,High income,1,1285,"Prohibition of events, events, etc. with more than 10 people; provisionally valid until 30th March",https://politi.dk/coronavirus-i-danmark/seneste-tiltag-mod-spredning-af-coronavirus-covid-19,18/03/2020,NA,5792.203,1024,4,18/03/2020,1024,4,256
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,1,1481,"Evening curfew implemented from 20 March until 3 April between the hours of 8pm and 6am. Applies to all persons in the country, except those with specific exemptions.",https://www.gov.uk/foreign-travel-advice/dominican-republic/coronavirus,20/03/2020,NA,10847.904,21,0,20/03/2020,21,0,NA
DZA,Algeria,Middle East & North Africa,Upper middle income,1,2427,All taxis banned countrywide. Rail and public or private/public transport between wilayas has been suspended as well as public transport within urban centers.,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,23/03/2020,NA,43851.043,201,17,23/03/2020,201,17,11.82352941
ECU,Ecuador,Latin America & Caribbean,Upper middle income,1,1483,Stict confinement with a curfew from 9pm to 5am.,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/equateur/,17/03/2020,NA,17643.06,58,2,17/03/2020,58,2,NA
EGY,Egypt,Middle East & North Africa,Lower middle income,1,2225,two weeks the Government of Egypt will begin enforcing a nighttime curfew from 7:00 p.m. to 6:00 a.m. Anyone who violates the curfew could face a 4000 EGP fine or possible imprisonment.,https://eg.usembassy.gov/u-s-citizen-services/covid-19-information/,25/03/2020,NA,102334.403,366,19,25/03/2020,366,19,19.26315789
ERI,Eritrea,Sub-Saharan Africa,Low income,1,2679,"Every person should avoid non-essential movement within the city or village of residence as well as travel to other places inside the country.  Every person should likewise avoid travel by bus, mini-bus and taxis unless in emergencies.",http://shabait.com/news/local-news/30342--ministry-of-health-public-guidelines-no-3,23/03/2020,NA,3546.427,1,0,23/03/2020,1,0,NA
ESP,Spain,Europe & Central Asia,High income,1,712,"Movement only allowed for: travel to make essential purchases (food, hygiene, health, first necessity), in strict compliance with basic precautionary measures; travel to his place of work and return to his usual place of residence; travel to access banking services; travel to provide care and assistance to vulnerable people; travel in cases of force majeure.; fines from 100 to 600.000 EUR",https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/espagne,16/03/2020,NA,46754.783,11491,288,16/03/2020,11491,288,39.89930556
EST,Estonia,Europe & Central Asia,High income,1,3013,2+2 approach in all public spaces; max. 2 people out together (exception of families or same households) and minimum two meter distance at all times,https://www.kriis.ee/en/news/additional-measures-emergency-situation,25/03/2020,NA,1326.539,369,0,25/03/2020,369,0,NA
ETH,Ethiopia,Sub-Saharan Africa,Low income,1,5020,"The government has banned gatherings of more than four people unless there is an absolute necessity, in which case permits need to be acquired from authorities. Handshakes are also not allowed.",https://www.bbc.com/news/world/africa/live,11/04/2020,NA,114963.583,65,2,11/04/2020,65,2,NA
FIN,Finland,Europe & Central Asia,High income,1,1329,"Public gatherings are limited to no more than ten persons, and it is recommend to avoid spending unnecessary time in public places. Per state of emergency declaration",https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi,16/03/2020,NA,5540.718,267,0,16/03/2020,267,0,NA
FJI,Fiji,East Asia & Pacific,Upper middle income,1,2816,Fiji will be under a nationwide curfew from 10pm to 5am daily from Mar 30 because Fijians were not taking seriously the advice to restrict movement.,https://www.rnz.co.nz/international/pacific-news/412756/fiji-to-be-under-nationwide-curfew-from-monday,30/03/2020,NA,896.444,5,0,30/03/2020,5,0,NA
FRA,France,Europe & Central Asia,High income,1,783,"further restrictions of movement, all people requested to remain at home unless for essential purposes starting 17 March to last until 15th April",https://www.interieur.gouv.fr/Actualites/L-actu-du-Ministere/Attestation-de-deplacement-derogatoire-et-justificatif-de-deplacement-professionnel,17/03/2020,NA,65273.512,6633,148,17/03/2020,6633,148,44.81756757
FRO,Faroe Islands,Europe & Central Asia,High income,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FSM,Micronesia (Fed. States of),East Asia & Pacific,Lower middle income,3,NA,NA,NA,NA,15/04/2020,115.021,NA,NA,NA,NA,NA,NA
GAB,Gabon,Sub-Saharan Africa,Upper middle income,1,1553,Country-wide curfew between the hours of 7:30 p.m. and 6:00 a.m.,https://ga.usembassy.gov/health-alert-u-s-embassy-libreville-gabon-march-21-2020/,22/03/2020,NA,2225.728,3,1,22/03/2020,3,1,NA
GBR,United Kingdom,Europe & Central Asia,High income,1,1876,"General lockdown in UK of immediate effect. People are only permitted to leave home for 3 reasons: shoppig for basic necessities as infrequently as possible, one for of exercise a day (alone or with members of your household), any medical need, and travelling to and from work but only where this is absolutely necessary and cannot be done at home.",https://www.bbc.com/news/uk-52012432,24/03/2020,NA,67886.004,6650,359,24/03/2020,6650,359,18.52367688
GEO,Georgia,Europe & Central Asia,Upper middle income,1,3866,Nationwide lockdown,https://civil.ge/archives/344761,30/03/2020,NA,3989.175,90,0,30/03/2020,90,0,NA
GHA,Ghana,Sub-Saharan Africa,Lower middle income,1,3134,"Movement of people has been restricted except to get essential items and use public bathrooms, and there shall be no inter-city movement of commerical and private vehicles/aircrafts excpet to deliver essential goods.",https://twitter.com/moigovgh/status/1243686930346360835/photo/4,30/03/2020,NA,31072.945,152,5,30/03/2020,152,5,30.4
GIB,Gibraltar,Europe & Central Asia,High income,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GIN,Guinea,Sub-Saharan Africa,Low income,1,4207,National curfew from 21:00 to 05:00,https://www.gov.uk/foreign-travel-advice/guinea/coronavirus,30/03/2020,NA,13132.792,8,0,30/03/2020,8,0,NA
GMB,Gambia,Sub-Saharan Africa,Low income,1,3328,"closure of all non-essential shops, bars, cafés, casinos, sporting  venues, and all forms of public gatherings.",https://www.journalducameroun.com/en/gambia-declares-state-of-emergency-over-covid-19/,01/04/2020,NA,2416.664,4,1,01/04/2020,4,1,NA
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,1,4153,"movements are restricted to essential ones, while citizens are asked to stay at home.",https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,28/03/2020,NA,1967.998,2,0,28/03/2020,2,0,NA
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,1,3664,"Under 30 day Health State of Alarm: a temporary suspension of all types of demonstration or gathering of over TEN (10) people in the same place, together with the celebration of parties, traditional weddings, wakes or funerals, burials, gaming rooms, beleles, parks, fairs and other similar events.",https://www.guineaecuatorialpress.com/noticia.php?id=15226,31/03/2020,NA,1402.985,14,0,31/03/2020,14,0,NA
GRC,Greece,Europe & Central Asia,High income,1,2244,"A curfew is in effect March 23 – April 6 throughout Greece.  Violators will be fined 150 Euros per violation.  You must carry your passport or other identification at all times and have a valid reason to be out.  Follow instructions on the Greek authority’s website.  Type A movement is for work (contact your employer), Type B is an essential personal movement (supermarket, pharmacy, etc. as defined on the form).",https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,23/03/2020,NA,10423.056,624,15,23/03/2020,624,15,41.6
GRD,Grenada,Latin America & Caribbean,Upper middle income,3,NA,NA,NA,NA,24/03/2020,112.519,NA,NA,24/03/2020,1,0,NA
GRL,Greenland,Europe & Central Asia,High income,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTM,Guatemala,Latin America & Caribbean,Upper middle income,1,2346,"effective Sunday, March 22, a nationwide curfew will take effect. The curfew is from 4:00 p.m. to 4:00 a.m. and is scheduled to be in effect until March 29. Everyone in Guatemala, including foreigners, is expected to remain in their homes during curfew hours. The only exceptions are for police, private security, medical professionals and ambulances, food delivery drivers, and certain other essential personnel. While food delivery service will continue during the curfew, grocery stores are expected to close before the curfew takes effect. The Guatemalan police and security forces will enforce the curfew.",https://gt.usembassy.gov/guatemala-begins-curfew-starting-march-22/,22/03/2020,NA,17915.567,17,1,22/03/2020,17,1,NA
GUM,Guam,East Asia & Pacific,High income,4,NA,NA,NA,NA,NA,168.783,NA,NA,NA,NA,NA,NA
GUY,Guyana,Latin America & Caribbean,Upper middle income,4,NA,NA,NA,NA,NA,786.559,NA,NA,NA,NA,NA,NA
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,1,4470,"Group gatherings of more than four people in public places are prohibited, from midnight on March 29 for 14 days, until April 11. Twelve types of group gatherings are exempted, including group gatherings for the purposes of or related to transportation, performing any governmental function, at a place of work for the purposes of work, and of persons living in the same household. Offenders are liable to a maximum penalty of a $25,000 fine and imprisonment for six months.",https://www.news.gov.hk/eng/2020/03/20200328/20200328_110413_745.html?type=category&name=covid19&tl=t,10/04/2020,NA,7496.988,NA,NA,NA,NA,NA,NA
HND,Honduras,Latin America & Caribbean,Lower middle income,1,2349,"On March 16, 2020, the Government of Honduras announced a total curfew in Tegucigalpa, Choluteca and La Ceiba, which was later extended to the entire country until Sunday, March 29, and could potentially be extended after this time. This curfew severely limits the movement of the general population. According to the announcement, individuals encountered outside without a legitimate reason, such as a medical emergency, risk arrest by police.",https://hn.usembassy.gov/covid-19-information/,16/03/2020,NA,9904.608,6,0,16/03/2020,6,0,NA
HRV,Croatia,Europe & Central Asia,High income,1,2925,"Intercity travel and vehicular traffic is suspended, with exceptions for essential workers and reasons",https://hr.usembassy.gov/covid-19-information-2/,23/03/2020,NA,4105.268,235,0,23/03/2020,235,0,NA
HTI,Haiti,Latin America & Caribbean,Low income,1,1601,Citizens must stay at home and limit movement to essential only,https://www.gov.uk/foreign-travel-advice/haiti/health,20/03/2020,NA,11402.533,2,0,20/03/2020,2,0,NA
HUN,Hungary,Europe & Central Asia,High income,3,NA,NA,NA,NA,24/03/2020,9660.35,NA,NA,24/03/2020,187,8,23.375
IDN,Indonesia,East Asia & Pacific,Lower middle income,3,NA,NA,NA,NA,30/03/2020,273523.621,NA,NA,30/03/2020,1285,114,11.27192982
IMN,Isle of Man,Europe & Central Asia,High income,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,India,South Asia,Lower middle income,3,NA,NA,NA,NA,22/03/2020,1380004.385,NA,NA,22/03/2020,320,4,80
IRL,Ireland,Europe & Central Asia,High income,1,2910,Ireland has enforced a partial lockdown. People may only leave their homes for 3 reasons: to travel to or from work if you are providing an essential service; to shop for food; to collect medical prescriptions and medical supplies and attend medical appointments; to carry out vital services like caring (including family carers); for brief individual exercise - within 2 kilometres of your house keeping 2 metres away from others for social distancing; for farming.,https://www.gov.ie/en/news/7e0924-latest-updates-on-covid-19-coronavirus/,28/03/2020,NA,4937.796,2121,22,28/03/2020,2121,22,96.40909091
IRN,Iran,Middle East & North Africa,Upper middle income,2,NA,NA,NA,NA,NA,83992.953,NA,NA,25/02/2020,61,12,5.083333333
IRQ,Iraq,Middle East & North Africa,Upper middle income,1,1203,"24-hr curfew in Baghdad  and Kurdish region ""IKR""(until at least 24. March)",https://iq.usembassy.gov/covid-19-information/,17/03/2020,NA,40222.503,124,9,17/03/2020,124,9,13.77777778
ISL,Iceland,Europe & Central Asia,High income,3,NA,NA,NA,NA,10/04/2020,341.25,NA,NA,10/04/2020,1648,6,274.6666667
